"Index", "Height(Inches)"," "Weight(Pounds)", "Height/Weight Ratio (in/lb)"
1, 65.78, 112.99, 58.22
2, 71.52, 136.49, 52.4
3, 69.40, 153.03, 45.35
4, 68.22, 142.34, 47.93
5, 67.79, 144.30, 46.98
6, 68.70, 123.30, 55.72
7, 69.80, 141.49, 49.33
8, 70.01, 136.46, 51.3
9, 67.90, 112.37, 60.43
10, 66.78, 120.67, 55.34
11, 66.49, 127.45, 52.17
12, 67.62, 114.14, 59.24
13, 68.30, 125.61, 54.37
14, 67.12, 122.46, 54.81
15, 68.28, 116.09, 58.82
16, 71.09, 140.00, 50.78
17, 66.46, 129.50, 51.32
18, 68.65, 142.97, 48.02
19, 71.23, 137.90, 51.65
20, 67.13, 124.04, 54.12
21, 67.83, 141.28, 48.01
22, 68.88, 143.54, 47.99
23, 63.48, 97.90, 64.84
24, 68.42, 129.50, 52.83
25, 67.63, 141.85, 47.68
26, 67.21, 129.72, 51.81
27, 70.84, 142.42, 49.74
28, 67.49, 131.55, 51.3
29, 66.53, 108.33, 61.41
30, 65.44, 113.89, 57.46
31, 69.52, 103.30, 67.3
32, 65.81, 120.75, 54.5
33, 67.82, 125.79, 53.92
34, 70.60, 136.22, 51.83
35, 71.80, 140.10, 51.25
36, 69.21, 128.75, 53.76
37, 66.80, 141.80, 47.11
38, 67.66, 121.23, 55.81
39, 67.81, 131.35, 51.63
40, 64.05, 106.71, 60.02
41, 68.57, 124.36, 55.14
42, 65.18, 124.86, 52.2
43, 69.66, 139.67, 49.87
44, 67.97, 137.37, 49.48
45, 65.98, 106.45, 61.98
46, 68.67, 128.76, 53.33
47, 66.88, 145.68, 45.91
48, 67.70, 116.82, 57.95
49, 69.82, 143.62, 48.61
50, 69.09, 134.93, 51.2
51, 69.91, 147.02, 47.55
52, 67.33, 126.33, 53.3
53, 70.27, 125.48, 56.0
54, 69.10, 115.71, 59.72
55, 65.38, 123.49, 52.94
56, 70.18, 147.89, 47.45
57, 70.41, 155.90, 45.16
58, 66.54, 128.07, 51.96
59, 66.36, 119.37, 55.59
60, 67.54, 133.81, 50.47
61, 66.50, 128.73, 51.66
62, 69.00, 137.55, 50.16
63, 68.30, 129.76, 52.64
